name,price,location,link,Description,Property Address,Condition,Furnishing,Attribute_1,Attribute_2,Attribute_3,Estate Name,Property Size,Subtype,Service Charge Fee,Service Charge Covers,Agency Fee,Legal and Agreement Fee,Caution Fee,Total Fee,Pets,New Property,Total Rooms,Parking Space,Broker Fee,Furnished,Housing Quality,Smoking,Parties
4bdrm Duplex in Ikota for rent, 6000000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/4bdrm-duplex-in-ikota-for-rent-8RsAd78iXdWCjBcPtZMXSggA.html?page=2&pos=11&cur_pos=11&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=30,"Newly built 4 bedroom semi detached duplex with a bq for rent
location: ikota, lekki  
features:
-all rooms ensuite
-cctv
-jacuzzi
-fitted kitchen
-pop ceiling
-wardrobe
-water treatment
-walk-in closet
-water heater
-heat extractor
-ample parking space
note: there is an inspection fee of only refundable once payment is made for the property.
inquiries ii inspection ii purchase ii call",Ikota,Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,"300
     
      sqm",,,,,,,,,,,,,,,,
5bdrm Duplex in Igbo Efon Lekki Ph1 for rent, 4600000,"Lekki, Igbo-efon",https://jiji.ng/igbo-efon/houses-apartments-for-rent/5bdrm-duplex-in-igbo-efon-lekki-ph1-for-rent-zuQU6MSMxnOB1gxe5lFp7VQ6.html?page=2&pos=13&cur_pos=13&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=32,5bedroom duplex newly built detached apartment with boys quarter at Igbo efon lekki ph1,Igbo efon lekki,Newly-Built,Semi-Furnished,Duplex,5 bedrooms,5 bathrooms,Igbo efon lekki ph1,"620
     
      sqm",,,,,,,,,,,,,,,,
6bdrm Duplex in Agidingbi for rent, 20000000,"Ikeja, Agidingbi",https://jiji.ng/agidingbi/houses-apartments-for-rent/6bdrm-duplex-in-agidingbi-for-rent-cXaXjG9B8gRRMKuVv8WyZ1hI.html?page=2&pos=17&cur_pos=17&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=36,6 bedroom detached duplex with 3 bedroom BQ,Celestial church,Fairly Used,Unfurnished,Duplex,6 bedrooms,6 bathrooms,,"1500
     
      sqm",,,,10,10,10,30,,,,,,,,,
4bdrm Duplex in Lekki for rent, 6500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-for-rent-lncg35lj8oZ59Zgd1J31UI1e.html?page=2&pos=20&cur_pos=20&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=39,"Fully Serviced 4 bedrooms terrace duplex with pool & Gym in a serene estate 
Rent - 6.5m / annum
Agency - 10%
Legal - 10%
Caution - 500k
Service charge - 840k / annum
 Total - security, 15hours electricity, Jacuzzi, Pool , Gym, BQ",Osapa London,Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,"500
     
      sqm",,840000,"Maintenance, security, electricity",,,,,,,,,,,,,
5bdrm Duplex in Osapa london for rent, 15000000,"Lekki, Osapa london",https://jiji.ng/osapa-london/houses-apartments-for-rent/5bdrm-duplex-in-osapa-london-for-rent-yXcoW8OTbZuv3qDsuwP9FmUU.html?page=3&pos=1&cur_pos=1&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=42,"Brand newly built luxury 5bedrooms fully detached duplex with open terrace & bq for rent.
location: victory park estate osapa - lekki lagos.
 rent: n15m per annum
*note:* 2years upfront payment required.
agency 10%
legal: 5%
caution: n1.5m
 *description:*
- superb unconventional architecture
- secure estate
- all rooms ensuite 
- ample parking 
- beautiful lighting 
- fitted kitchen
- family lounge
- top quality wardrobes
- stamp concrete floor
- dining area
- luxury sanitary wares
- great neighbourhood 
- bq","Victory park, Osapa London, Lekki.",Newly-Built,Unfurnished,Duplex,5 bedrooms,5 bathrooms,,"750
     
      sqm",,,,,,,,,,,,,,,,
6bdrm Duplex in Lekki Phase 1 for rent, 15000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/6bdrm-duplex-in-lekki-phase-1-for-rent-u3zp5w0VQVPBw481CNuRn6dw.html?page=3&pos=4&cur_pos=4&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=45,"For Rent: A 6 Bedroom semi detached duplex with 2 room BQ, security gate house with a garage
Location: Lekki Phase 1
Rent : ₦15m net
Term: 2 years minimum
Agency: 10%
Legal: 5%
Refundable Caution Deposit: 10%
03FE20",Lekki,Fairly Used,Unfurnished,Duplex,6 bedrooms,6 bathrooms,,"500
     
      sqm",,,,,,,,,,,,,,,,
3bdrm Apartment in Ologolo for rent, 4500000,"Lekki, Ologolo",https://jiji.ng/ologolo/houses-apartments-for-rent/3bdrm-apartment-in-ologolo-for-rent-8i5MU45wopRsZA58ZbF5ffyD.html?page=3&pos=6&cur_pos=6&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=47,"3 bedroom apartment at Ologolo 
Rent 4.5m
Caution: 10%
Legal 10%
Agency 10%
Service Charge: N450,000 (Covers Security, Waste mgt & Cleaning of common area)",lekki,Newly-Built,Unfurnished,Apartment,3 bedrooms,3 bathrooms,,"500
     
      sqm",,450000,"Security 
waste and management 
cleaning of common area",450000,450000,450000,1350000,,,,,,,,,
"4bdrm Duplex in Lekki County, Ikota for rent", 4500000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/4bdrm-duplex-in-lekki-county-ikota-for-rent-3OzGW8uZ8AIMFdDLN9Oeew7x.html?page=3&pos=9&cur_pos=9&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=50,"Above is the picture of 4 Bedroom Semi-detached duplex inside Westend Estate, Lekky County Homes for Rent.
Rent - N4.5M
Agency - 10%
Legal - 10%
Caution deposit - 10%",Ikota lekki,Fairly Used,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,Lekki county,"4500
     
      sqm",,,,,,,,,,,,,,,,
"Furnished 3bdrm Duplex in Marita Court Estate, Lekki Expressway", 3500000,"Lekki, Lekki Expressway",https://jiji.ng/lekki-expressway/houses-apartments-for-rent/furnished-3bdrm-duplex-in-marita-court-estate-lekki-expressway-wSIZsPIlMSVX62QDl6nqbHZd.html?page=3&pos=12&cur_pos=12&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=53,"Well finished spacious brand new 3 bedroom duplex with bq has excellent features all ensuit available to let
standard electricity
well funished 
tit security
secured estate
dry road and ground lovely environment",Marita court axis after total,Newly-Built,Furnished,Duplex,3 bedrooms,4 bathrooms,marita court estate,"1800
     
      sqm",,,,350000,350000,250000,,Pets Allowed,,,,,,,,
4bdrm Duplex in Lekki for rent, 6500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-for-rent-buKu3hJ0csQUdbpeuz5PCNoR.html?page=3&pos=15&cur_pos=15&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=56,"It’s a 4 Bedroom Terrace Duplex in a private estate around Pinnock Osapa. It comes with swimming pool, children’s playground, and gym. It’s well secured with 24/7 security, the light is pay-as-you-go. It’s currently 15hours light based on the diesel increment. However, they’re expected to go back to 24/7 power supply in few weeks.",Osapa London,Fairly Used,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,"95
     
      sqm",,,,650000,650000,500000,1800000,,,,,,,,,
