name,price,location,link,Description,Property Address,Estate Name,Property Size,Condition,Furnishing,Attribute_1,Attribute_2,Attribute_3,Service Charge Fee,Service Charge Covers,Agency Fee,Legal and Agreement Fee,Caution Fee,Total Fee,Subtype,Pets,New Property,Total Rooms,Parking Space,Broker Fee,Furnished
3bdrm Duplex in Ajah for rent, 4000000,Ajah,https://jiji.ng/ajah/houses-apartments-for-rent/3bdrm-duplex-in-ajah-for-rent-aoEWwI6Wfiaf1Ps7fP0LLxGG.html?page=18&pos=3&cur_pos=3&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=392,"Brand newly built luxury serviced 3bedrooms terrace duplex with pool & gym for rent
 location: lekki palm city estate addo road ajah lagos.
 rent-4m per annum
service charges: 700k
power is pay as you go (24hrs light )
legal -10%
agency-10%
 caution-10%
 features:*
- swimming pool
- serviced apartment
- all rooms ensuite
- fitted kitchen
- 24 hours light 
- 24 hours security
- dinning section
- family lounge
- good road
- serene environment
- prime location
- good neighborhood
- clean water
- good drainage system","Ajah, Lekki.",,550sqm,Newly-Built,Unfurnished,Duplex,3 bedrooms,3 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in Ikoyi for rent, 20000000,Ikoyi,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/4bdrm-duplex-in-ikoyi-for-rent-BdbwlfWNu5pM6P5cFarPmCvW.html?page=18&pos=6&cur_pos=6&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=395,"This is a lovely 4 bedroom Detached Duplex with 2 rooms bq situated in, 
Ikoyi, Lagos. 
The property is well finished and serene. It has features such as ensuite rooms, air conditioners, water treatment plant, good car park space, a private office with a separate entrance, good lighting etc.
Other charges on inspection",ikoyi,,500sqm,Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,2000000,2000000,2000000,6000000,,,,,,,
2bdrm Apartment in Lekki Phase 1 for rent, 5000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/2bdrm-apartment-in-lekki-phase-1-for-rent-rjc4xHXMdFKmBxGl7LQwyOte.html?page=18&pos=8&cur_pos=8&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=397,"Fairly used 2 bedroom for rent in Lekki phase 1 Oniru axis
Rent: 5m per annum
Service charge: 750k
ALC: 10% each",Lekki phase 1 oniru axis,,500sqm,Fairly Used,Unfurnished,Apartment,2 bedrooms,2 bathrooms,,,,,,,,,,,,,
"4bdrm Duplex in Alpha Beach, Lekki for rent", 4000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-alpha-beach-lekki-for-rent-65JUl84WI9xs7r9SkvDRu8eJ.html?page=18&pos=11&cur_pos=11&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=400,"Quality fully detached 4 bedroom duplex + a room bq duplex to let at Alpha beach road in a well secured estate. 
Rent 4m 
Agency fee 10%
Agreement 10%
Caution fee 400k
#Seantultmtad#","Alpha Beach, Lekki",Alpha Beach,350sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
4bdrm Townhouse / Terrace in Lekki Phase 1 for Rent, 8000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-lekki-phase-1-for-rent-eV2YUolnbU7XgiMCM7JQXeZ.html?page=18&pos=14&cur_pos=14&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=403,"*to let*
*a newly built 4bedroom terrace duplex in lekki phase1 for rent.*
agency: 10%
legal: 10%
caution: 10%",lekki phase 1,,350sqm,Newly-Built,Semi-Furnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
4bdrm Maisonette in Lekki for rent, 20000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-maisonette-in-lekki-for-rent-oNy74jiAvUcPtg5EfXJdwtId.html?page=18&pos=17&cur_pos=17&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=406,"FOR RENT! 
Lovely 4 Bedroom Maisonette with Swimming Pool
Location- Ikoyi, Lagos 
Rent -
Service Charge - per annum( Diesel Deposit Inclusive)
Caution 
Agency - 
Legal -
Property Features: 
- [x] Room ensuite 
- [x] Visitors toilet 
- [x] Fitted Kitchen
- [x] Very Secured Estate 
- [x] 24hrs Security
- [x] 24hrs Power 
- [x] Ample Parking Space 
- [x] Wardrobe 
- [x] Kitchen cabinet
- [x] Gym
For more information and enquiries
#shelterforyouproperties #lekkirealtor #lekkiagent #luxuryhousesforsale #homebuyers #firsttimehomebuyer #realestateagent #4bedroomfullydetachedduplexforsale #5bedroomfullydetachedduplexforsale #lagosrealestate #propertyagents #explorerealestate #explorepage #viralpost #ukrealestateinvestment #newsupdate #blogs #4bedroom",Ikoyi,,500sqm,Newly-Built,Semi-Furnished,Maisonette,4 bedrooms,5 bathrooms,,,,,,,Semi-Detached,,,,,,
4bdrm Duplex in Osapa london for rent, 6000000,"Lekki, Osapa london",https://jiji.ng/osapa-london/houses-apartments-for-rent/4bdrm-duplex-in-osapa-london-for-rent-hGRyNc4LPjwBk9TKl7KwMX7F.html?page=18&pos=20&cur_pos=20&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=409,"We have a beautiful, 4 bedroom semi detached duplex available for rent in a serene location.

Agency:10%
Legal:10%
Caution:10%
Self service",Lekki Lagos,,350sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
"4bdrm Duplex in Vgc, Lekki for rent", 6500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-vgc-lekki-for-rent-fiUctWXLYaPfMk0QpDxEKW6T.html?page=18&pos=23&cur_pos=23&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=412,"TO LET IN LEKKI
An exquisite newly built fully detached 4br duplex with the following facilities,
- all rooms ensuite with spacious rest rooms fitted with modern facilities.
- Spacious master bedroom with a walk in closet.
- All the rooms are fitted with modern wardrobes.
- 2 rooms BQ.
- Spacious fitted kitchen equipped with modern kitchen cabinet, microwave, oven, gas burners/hot plate.
- Spacious compound with houses space apart making the environment very airy.
- The building has an estate open gardens in front and behind.
- The estate has modern facilities with underground cables, compact unit transformers, potable water, well tarred roads and very beautiful layout at Creek Haven Estate near VGC Ajah.
Rent : #6.5m /annum. Two years rent
 required. 
Agency fee 10%
Agreement 10%
Caution fee 500k
#Adaralo#","VGC, IKOTA, LEKKI",VGC,500sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
"4bdrm Duplex in Victoria Island, Ahmadu Bello Way for Rent", 8000000,"Victoria Island, Ahmadu Bello Way",https://jiji.ng/ahmadu-bello-way/houses-apartments-for-rent/4bdrm-duplex-in-victoria-island-ahmadu-bello-way-for-rent-pOfV5p4ZF0YF9imCAdxf8DuO.html?page=19&pos=4&cur_pos=4&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=416,"11units of 
4 Bedroom Terrace Duplex for rent
Rent:8m
Electricity: 24:Hours: 2.5M
Service Charge: 1M
Refundable Caution( off Amodu Bello way)
Neighbour are foreign expatriates...",teslim elias behind chattered bank (ahmadu bello way),Victoria Island,,Fairly Used,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
Furnished 3bdrm Apartment in Banana Island for Rent, 7500000,"Ikoyi, Banana Island",https://jiji.ng/banana-island/houses-apartments-for-rent/furnished-3bdrm-apartment-in-banana-island-for-rent-1b8Czz82aPJLxqDiBMboeAb8.html?page=19&pos=6&cur_pos=6&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=418,"3 bedroom fully furnish luxury Apartment, with BQ all rooms en-suite, with rooms overlooking the ocean. The Apartment is fully furnished and also available for short let stay.
just come in with your bags
Rent per Month: 7,500,000
Rent per day 300,000 negotiable depends on the amount of days",Ikoyi Banana Island,Banana Island,300sqm,Newly-Built,Furnished,Apartment,3 bedrooms,3 bathrooms,,,,,,,,No Pets,,,,,
